6004702;2003;Genap;645334;C
6004702;2003;Genap;649324;D
6004702;2004;Gasal;601010;D
6004702;2004;Gasal;642324;C
6004702;2004;Gasal;645335;BC
6004702;2004;Gasal;645336;BC
6004702;2004;Gasal;646334;D
6004702;2004;Gasal;647332;B
6004702;2004;Genap;643224;B
6004702;2004;Genap;643323;E
6004702;2004;Genap;645333;E
6004702;2004;Genap;646332;C
6004702;2004;Genap;649322;C
6004702;2005;Gasal;645137;E
6004702;2005;Gasal;646133;E
6004702;2005;Gasal;64A101;E
6004702;2005;Gasal;64A314;E
6004702;2005;Gasal;64A512;E
6004702;2005;Gasal;64A711;E
6004702;2005;Genap;60A102;E
6004702;2005;Genap;64A415;E
6004702;2005;Genap;64A513;E
6004702;2005;Genap;64A515;E
6005701;;;000101;C
6005701;;;000112;BC
6005701;;;000121;C
6005701;;;600001;A
6005701;;;600002;C
6005701;;;601006;C
6005701;;;601009;D
6005701;;;601204;C
6005701;;;602001;B
6005701;;;602002;A
6005701;;;603001;C
6005701;;;604001;BC
6005701;;;604002;B
6005701;;;609002;D
6005701;2000;Gasal;640322;A
6005701;2000;Gasal;654211;B
6005701;2000;Gasal;654221;B
6005701;2000;Gasal;654412;B
6005701;2000;Gasal;654423;BC
6005701;2000;Gasal;654424;B
6005701;2000;Genap;634254;AB
6005701;2000;Genap;634353;BC
6005701;2000;Genap;654222;AB
6005701;2000;Genap;654262;B
6005701;2000;Genap;654264;A
6005701;2000;Genap;654281;AB
6005701;2000;Genap;654367;BC
6005701;2000;Genap;654368;A
6005701;2001;Gasal;654131;BC
6005701;2001;Gasal;654232;C
6005701;2001;Gasal;654333;BC
6005701;2001;Gasal;654334;C
6005701;2001;Gasal;654335;B
6005701;2001;Gasal;654353;C
6005701;2001;Gasal;654355;C
6005701;2001;Gasal;654374;C
6005701;2001;Genap;635211;E
6005701;2001;Genap;654161;AB
6005701;2001;Genap;654263;A
6005701;2001;Genap;654341;A
6005701;2001;Genap;654342;B
6005701;2001;Genap;654343;C
6005701;2001;Genap;654382;D
6005701;2001;Genap;655203;B
6005701;2002;Gasal;601104;B
6005701;2002;Gasal;634164;BC
6005701;2002;Gasal;654251;C
6005701;2002;Gasal;654265;E
6005701;2002;Gasal;654272;C
6005701;2002;Gasal;654352;B
6005701;2002;Gasal;654354;B
6005701;2002;Gasal;654376;BC
6005701;2002;Gasal;655201;E
6005701;2002;Genap;634212;AB
6005701;2002;Genap;634284;BC
6005701;2002;Genap;654366;C
6005701;2003;Gasal;654271;E
6005701;2003;Gasal;654273;B
6005701;2003;Gasal;654375;C
6005701;2003;Gasal;654383;BC
6005702;;;000112;BC
6005702;;;000121;BC
6005702;;;600001;C
6005702;;;602001;C
6005702;;;604002;C
6005702;;;609002;C
6005702;;;654211;C
6005702;2000;Gasal;600002;E
6005702;2000;Gasal;634353;D
6005702;2000;Gasal;654221;D
6005702;2000;Gasal;654222;C
6005702;2000;Gasal;654412;BC
6005702;2000;Gasal;654424;BC
6005702;2000;Genap;000101;D
6005702;2000;Genap;604001;D
6005702;2000;Genap;634254;BC
6005702;2000;Genap;654263;BC
6005702;2000;Genap;654281;BC
6005702;2000;Genap;654368;C
6005702;2000;Genap;654423;E
6005702;2001;Gasal;634284;BC
6005702;2001;Gasal;654131;E
6005702;2001;Gasal;654333;E
6005702;2001;Gasal;654334;D
6005702;2001;Gasal;654335;D
6005702;2001;Gasal;654374;E
6005702;2001;Genap;634212;E
6005702;2001;Genap;654262;E
6005702;2001;Genap;654341;E
6005702;2001;Genap;655203;E
6005703;;;000101;C
6005703;;;000112;B
6005703;;;000121;BC
6005703;;;600001;D
6005703;;;602001;D
6005703;;;603001;A
6005703;;;604002;AB
6005703;;;609002;BC
6005703;;;654211;BC
6005703;2000;Gasal;654221;D
6005703;2000;Gasal;654222;C
6005703;2000;Gasal;654412;BC
6005703;2000;Gasal;654423;E
6005703;2000;Gasal;654424;D
6005704;;;000101;B
6005704;;;000113;B
6005704;;;000121;B
6005704;;;604001;BC
6005704;;;604002;C
6005704;2000;Gasal;600001;E
6005704;2000;Gasal;602001;E
6005704;2000;Gasal;603001;D
6005704;2000;Gasal;609002;C
6005704;2000;Gasal;654211;E
6005704;2000;Gasal;654221;E
6005704;2000;Gasal;654424;D
6005705;;;000112;BC
6005705;;;600001;D
6005705;;;602001;C
6005705;;;604001;C
6005705;;;604002;B
6005705;;;640322;B
6005705;2000;Gasal;603001;D
6005705;2000;Gasal;609002;C
6005705;2000;Gasal;654211;D
6005705;2000;Gasal;654412;B
6005705;2000;Genap;634164;BC
6005705;2000;Genap;634254;C
6005705;2000;Genap;634353;E
6005705;2000;Genap;654222;C
6005705;2000;Genap;654281;BC
6005705;2001;Gasal;000101;BC
6005705;2001;Gasal;654131;BC
6005705;2001;Gasal;654333;E
6005705;2001;Gasal;654335;D
6005705;2001;Gasal;654423;D
6005705;2001;Genap;600002;E
6005705;2001;Genap;634212;B
6005705;2001;Genap;654221;D
6005705;2001;Genap;654262;C
6005705;2001;Genap;654343;D
6005705;2001;Genap;654424;B
6005705;2002;Gasal;654161;AB
6005705;2002;Gasal;654232;C
6005705;2002;Gasal;654334;D
6005705;2002;Gasal;654353;BC
6005705;2002;Gasal;654354;E
6005705;2002;Genap;601204;E
6005705;2002;Genap;602002;E
6005705;2002;Genap;654263;E
6005705;2002;Genap;654342;E
6005705;2002;Genap;655204;E
6005706;;;000101;C
6005706;;;000115;BC
6005706;;;000121;C
6005706;;;600001;C
6005706;;;600002;D
6005706;;;601204;BC
6005706;;;602001;BC
6005706;;;604002;B
6005706;2000;Gasal;603001;E
6005706;2000;Gasal;604001;D
6005706;2000;Gasal;609002;C
6005706;2000;Gasal;654354;D
6005706;2000;Gasal;654424;D
6005706;2000;Genap;634164;BC
6005706;2000;Genap;634254;D
6005706;2000;Genap;634353;E
6005706;2000;Genap;654211;D
6005706;2001;Gasal;654222;D
6005706;2001;Gasal;654333;E
6005706;2001;Genap;634212;BC
6005706;2001;Genap;654262;D
6005706;2001;Genap;654263;AB
6005706;2001;Genap;654423;C
6005706;2001;Genap;655203;C
6005706;2002;Gasal;634284;B
6005706;2002;Gasal;654355;BC
6005706;2002;Genap;654367;D
6005706;2002;Genap;654368;E
6005706;2003;Gasal;640322;E
6005706;2003;Gasal;654131;E
6005706;2003;Gasal;654232;C
6005706;2003;Gasal;654412;C
6005706;2003;Genap;654221;B
6005706;2003;Genap;654264;C
6005706;2003;Genap;654281;BC
6005706;2003;Genap;654342;C
6005706;2003;Genap;654343;D
6005706;2003;Genap;654366;B
6005706;2003;Genap;654383;B
6005706;2004;Gasal;654251;D
6005706;2004;Gasal;654265;E
6005706;2004;Gasal;654334;B
6005706;2004;Gasal;654335;C
6005706;2004;Gasal;654353;D
6005706;2004;Genap;601006;E
6005706;2004;Genap;602002;E
6005706;2004;Genap;654161;E
6005706;2004;Genap;654341;E
6005706;2004;Genap;654374;C
6005706;2005;Gasal;60A403;E
6005706;2005;Gasal;65A213;E
6005706;2005;Gasal;65A367;D
6005706;2005;Gasal;65A371;C
6005706;2005;Gasal;65A373;E
6005706;2005;Genap;60A104;E
6005706;2005;Genap;60A302;E
6005706;2005;Genap;63A431;E
6005706;2005;Genap;65A242;E
6005706;2005;Genap;65A362;E
6005706;2005;Genap;65A904;D
6005706;2006;Gasal;60A103;E
